Reservation_ID,Card_Number,Is_Cancelled,Cust_User
86482,7283412974523180,1,harry3
74393,8028067321446220,1,jane55
48038,8732680185680110,1,sal12
85825,6545662420303970,1,dan2
92532,5383494121892210,1,carrie1
41246,4407766240198850,1,hal8
96672,6432112278368590,1,jose99
72951,9736300165334200,1,jill123
17447,1801878742345940,1,great1337
28008,1952810101181760,1,sandy77
66049,9373980623504420,0,calzone96
26063,7649729819330500,0,harry3
27863,3686774797599060,0,jane55
22797,8548833508681000,0,sal12
53520,2119124361284400,0,dan2
91922,4444705206361580,0,carrie1
62358,8957076900418620,0,hal8
18682,9736300165334200,0,jill123
65909,1801878742345940,0,great1337
13483,1952810101181760,0,sandy77
47328,9373980623504420,0,calzone96
78816,7649729819330500,0,harry3
33710,3686774797599060,0,jane55
54804,8548833508681000,0,sal12
20027,2119124361284400,0,dan2
13696,4444705206361580,0,carrie1
39272,8957076900418620,0,hal8
76976,4407766240198850,0,hal8
60341,6432112278368590,0,jose99
24177,4444705206361580,0,carrie1
63841,8957076900418620,0,hal8
78304,8028067321446220,0,jane55
48729,8732680185680110,0,sal12
70616,6545662420303970,0,dan2
56084,5383494121892210,0,carrie1
85799,4407766240198850,0,hal8
65314,8957076900418620,0,hal8
66186,9736300165334200,0,jill123
77843,1801878742345940,0,great1337
50284,1952810101181760,0,sandy77
38671,9373980623504420,0,calzone96
